jmeno,mesto,web,dostupnost,cilova_skupina,forma,styl_terapie
"Nevtípilová, Petra",Brno,https://www.jak-dal.com/,Info o dostupnosti na vyžádání,"Dospělí 18-69, Dospívající (do 17 let)",Osobně,"Systémové, systemické a komunikační pojetí"
"Dostálová, Tereza",Pardubice,www.terezadostalova.cz,Přijímám nové klienty,"On-line, Osobně, Telefonicky",,"Hlubinná psychoterapie (např. psychodynamické směry, psychoanalýza, SUR aj.)"
"Marklová, Kateřina",Praha Hodkovičky,,Info o dostupnosti na vyžádání,"On-line, Osobně",,"Humanistická psychoterapie (např. PCA, Rogers, Daseins, Gestalt, logoterapie aj.)"
"Smejkalová, Žaneta",Olomouc,neuvedeno,Info o dostupnosti na vyžádání,"Děti: druhý stupeň ZŠ, Děti: předškoláci, Děti: první stupeň ZŠ, Dospělí 18-69, Dospívající (do 17 let)",Osobně,"Systémové, systemické a komunikační pojetí"
"Polívková, Lenka",Liberec 12,lenkapolivkova.cz,Přijímám nové klienty,"Děti: druhý stupeň ZŠ, Dospělí 18-69, Dospívající (do 17 let)","Možnost terapie venku, On-line, Osobně, Telefonicky",Kognitivně-behaviorální terapie
"Švecová, Eliška",Praha,Neuvedeno,Nepřijímám nové klienty,neuvedeno,Osobně,"Systémové, systemické a komunikační pojetí"
"Krausová, Dana",Praha 5,www.psycholog-krausova.cz,Info o dostupnosti na vyžádání,,,"Humanistická psychoterapie (např. PCA, Rogers, Daseins, Gestalt, logoterapie aj.)"
"Šauer, Ondřej",Plzeň,www.tavia.cz,Info o dostupnosti na vyžádání,Dospělí 18-69,"On-line, Osobně","Humanistická psychoterapie (např. PCA, Rogers, Daseins, Gestalt, logoterapie aj.)"
"Štěpánková, Veronika",Havlíčkův Brod,www.veronikastepankova.com,Nepřijímám nové klienty,Dospělí 18-69,"Možnost terapie venku, On-line, Osobně",Kognitivně-behaviorální terapie
"Čechová, Dominika",Praha 1,https://www.counseling.cz,Přijímám nové klienty,"Dospělí 18-69, Dospívající (do 17 let)","Možnost terapie venku, On-line, Osobně, Telefonicky","Hlubinná psychoterapie (např. psychodynamické směry, psychoanalýza, SUR aj.)"
"Navrátilová Štoková, Jana",Poděbrady,www.mojepsycholozka.com,Info o dostupnosti na vyžádání,"Dospělí 18-69, Dospívající (do 17 let)","On-line, Osobně","Hlubinná psychoterapie (např. psychodynamické směry, psychoanalýza, SUR aj.)"
"Řepová, Hana",Praha 2- Nové Město​,www.repova.cz,Přijímám nové klienty,Dospělí 18-69,"Možnost terapie venku, On-line, Osobně, Telefonicky","Hlubinná psychoterapie (např. psychodynamické směry, psychoanalýza, SUR aj.)"
"Sekera, Ondřej",Ostrava,www.psychoterapie-sekera.cz,Info o dostupnosti na vyžádání,"Dospělí 18-69, Dospívající (do 17 let)","On-line, Osobně","Systémové, systemické a komunikační pojetí"
"Juklová, Kateřina",Hradec Králové,https://katkajuklova.wixsite.com/psych,Přijímám nové klienty,"On-line, Osobně",,"Systémové, systemické a komunikační pojetí"
"Spěváčková, Linda",Plzeň,www.psycholog-analytik.cz,Info o dostupnosti na vyžádání,Dospělí 18-69,Osobně,"Hlubinná psychoterapie (např. psychodynamické směry, psychoanalýza, SUR aj.)"
"Lišková, Petra",Praha 5,https://sites.google.com/site/skolaemoci/,Přijímám nové klienty,,,"Hlubinná psychoterapie (např. psychodynamické směry, psychoanalýza, SUR aj.)"
"Špeldová, Pavla",Písek,,Info o dostupnosti na vyžádání,,,Psychoterapie zaměřená na tělo
"Chrásková, Jana",Praha 5,https://www.janachraskova.cz/,Přijímám nové klienty,"Dospělí 18-69, Dospělí: 70+, neuvedeno","Možnost terapie venku, On-line, Osobně","Systémové, systemické a komunikační pojetí"
"Hort, Zdeňka",Brno,www.zdenkahort.cz,Info o dostupnosti na vyžádání,"Dospělí 18-69, neuvedeno","On-line, Osobně","Hlubinná psychoterapie (např. psychodynamické směry, psychoanalýza, SUR aj.)"
"Klouda, Martin",Praha 6,,Info o dostupnosti na vyžádání,,,"Humanistická psychoterapie (např. PCA, Rogers, Daseins, Gestalt, logoterapie aj.)"
"Štinglová, Kateřina",Praha 3,https://gaudia.cz/tym,Info o dostupnosti na vyžádání,Dospělí 18-69,Osobně,"Systémové, systemické a komunikační pojetí"
"Lukány, Ján",Praha 1,www.lukany.cz,Přijímám nové klienty,"On-line, Osobně, Telefonicky",,"Hlubinná psychoterapie (např. psychodynamické směry, psychoanalýza, SUR aj.)"
"Loja, Radka",Praha 1,"www.radkaloja.cz, www.mindtrix.cz",Info o dostupnosti na vyžádání,neuvedeno,"On-line, Osobně","Systémové, systemické a komunikační pojetí"
"Schneider Hrouzková, Alexandra",Praha 1,www.alexhrouzkova.cz,Info o dostupnosti na vyžádání,"Možnost terapie venku, On-line, Osobně, Telefonicky",,"Systémové, systemické a komunikační pojetí"
"Kyrianová, Hana",Praha 6,https://psychologicke-konzultace5.webnode.cz/,Přijímám nové klienty,"Dospělí 18-69, Dospělí: 70+, Dospívající (do 17 let)","On-line, Osobně, Telefonicky",Jiný
"Machan, Richard",Praha 6,terapie-machan.cz,Info o dostupnosti na vyžádání,"On-line, Osobně",,"Humanistická psychoterapie (např. PCA, Rogers, Daseins, Gestalt, logoterapie aj.)"
"Jůzová, Vladimíra",Třebíč,www.tremedias.cz,Přijímám nové klienty,"Děti: druhý stupeň ZŠ, Dospělí 18-69, Dospívající (do 17 let)",Osobně,"Systémové, systemické a komunikační pojetí"
"Stuchlík, Robert",Hradec Králové,www.psychosomatika-stuchlik.cz,Přijímám nové klienty,"Dospělí 18-69, Dospělí: 70+","On-line, Osobně","Hlubinná psychoterapie (např. psychodynamické směry, psychoanalýza, SUR aj.)"
"Holášková, Jarmila",Frenštát pod Radhoštěm,www.psychoterapie-frenstat.cz,Přijímám nové klienty,"Děti: druhý stupeň ZŠ, Děti: předškoláci, Děti: první stupeň ZŠ, Dospělí 18-69, Dospělí: 70+, Dospívající (do 17 let)","Možnost terapie venku, On-line, Osobně, Telefonicky",Integrativní a eklektické pojetí
"Koťová, Magdalena",Šeberov,www.ambicare.eu,Info o dostupnosti na vyžádání,"On-line, Osobně, Telefonicky",,"Hlubinná psychoterapie (např. psychodynamické směry, psychoanalýza, SUR aj.)"
"Rokytová, Markéta",Praha 6,www.aliviocentrum.cz,Info o dostupnosti na vyžádání,"On-line, Osobně, Telefonicky",,Integrativní a eklektické pojetí
"Cvičková, Helena",Frýdek - Místek,www.terapiecvickova.cz,Info o dostupnosti na vyžádání,Dospělí 18-69,"On-line, Osobně","Hlubinná psychoterapie (např. psychodynamické směry, psychoanalýza, SUR aj.)"
"Holba, Lubomír",Hrušovany nad Jevišovkou,neuvedeno,Info o dostupnosti na vyžádání,"Děti: druhý stupeň ZŠ, Dospělí 18-69, Dospívající (do 17 let), neuvedeno","On-line, Osobně","Systémové, systemické a komunikační pojetí"
"Rektořík Štěrba, Jan",Praha 8 - Kobylisy,www.terapiesterba.cz,Info o dostupnosti na vyžádání,"Dospělí 18-69, Dospívající (do 17 let)","On-line, Osobně","Systémové, systemické a komunikační pojetí"
"Nádvorníková, Milada",Litomyšl,http://www.psycholog-litomysl.cz,Přijímám nové klienty,"Děti: druhý stupeň ZŠ, Děti: první stupeň ZŠ, Dospělí 18-69, Dospělí: 70+, Dospívající (do 17 let), neuvedeno","Možnost terapie venku, On-line, Osobně, Telefonicky",Integrativní a eklektické pojetí
"Zítková, Tatiana",neuvedeno,neuvedeno,Info o dostupnosti na vyžádání,"Děti: druhý stupeň ZŠ, Děti: předškoláci, Děti: první stupeň ZŠ, Dospělí 18-69, Dospělí: 70+, Dospívající (do 17 let), neuvedeno",Osobně,"Humanistická psychoterapie (např. PCA, Rogers, Daseins, Gestalt, logoterapie aj.)"
"Wardecka, Alena",Bystřice pod Hostýnem,supervizevsetin.cz,Přijímám nové klienty,"On-line, Osobně",,"Humanistická psychoterapie (např. PCA, Rogers, Daseins, Gestalt, logoterapie aj.)"
"Sudík, Pavel",Mladá Boleslav,https://terapie.sudik.name/,Info o dostupnosti na vyžádání,neuvedeno,"On-line, Osobně",Jiný
"Kozelková, Adéla",Blansko,https://www.terapieblansko.cz/,Info o dostupnosti na vyžádání,"On-line, Osobně, Telefonicky",,"Humanistická psychoterapie (např. PCA, Rogers, Daseins, Gestalt, logoterapie aj.)"
"Fischer, Dita",Velké Meziříčí,neuvedeno,Info o dostupnosti na vyžádání,"Děti: druhý stupeň ZŠ, Děti: první stupeň ZŠ, Dospělí 18-69, Dospívající (do 17 let)","Možnost terapie venku, On-line, Osobně",Kognitivně-behaviorální terapie
"Pavelka, Richard",Brno,https://www.psych1.cz/,Info o dostupnosti na vyžádání,"Děti: druhý stupeň ZŠ, Děti: předškoláci, Děti: první stupeň ZŠ, Dospělí 18-69, Dospělí: 70+, Dospívající (do 17 let)","Možnost terapie venku, Osobně","Humanistická psychoterapie (např. PCA, Rogers, Daseins, Gestalt, logoterapie aj.)"
"Bolinová Fialová, Jitka",Liberec,www.rodinnaterapie-liberec.cz,Přijímám nové klienty,"Děti: druhý stupeň ZŠ, Dospělí 18-69, Dospívající (do 17 let)",Osobně,"Hlubinná psychoterapie (např. psychodynamické směry, psychoanalýza, SUR aj.)"
"Zakouřilová, Hana",Kostelec nad Orlicí,www.hzakourilova.cz,Info o dostupnosti na vyžádání,"Děti: druhý stupeň ZŠ, Děti: předškoláci, Děti: první stupeň ZŠ, Dospělí 18-69, Dospělí: 70+, Dospívající (do 17 let)","Možnost terapie venku, On-line, Osobně",Integrativní a eklektické pojetí
"Smrkovský, Michal",Praha,www.michalsmrkovsky.cz,Přijímám nové klienty,Dospělí 18-69,Osobně,"Hlubinná psychoterapie (např. psychodynamické směry, psychoanalýza, SUR aj.)"
"Slánská, Hana",Mladá Boleslav,lipalip.cz,Info o dostupnosti na vyžádání,"Děti: druhý stupeň ZŠ, Děti: předškoláci, Děti: první stupeň ZŠ, Dospělí 18-69, Dospělí: 70+, Dospívající (do 17 let)",Osobně,"Systémové, systemické a komunikační pojetí"
"Bystroňová, Šárka",Karlovy Vary,https://www.terapie-rodine-kv.cz/,Přijímám nové klienty,"Děti: druhý stupeň ZŠ, Děti: předškoláci, Děti: první stupeň ZŠ, Dospělí 18-69, Dospělí: 70+, Dospívající (do 17 let)","On-line, Osobně","Systémové, systemické a komunikační pojetí"
"Vávrová, Lenka","Radlická 48, Praha 5",lenkavavrova.com,Info o dostupnosti na vyžádání,"On-line, Osobně, Telefonicky",,Jiný
"Zatloukalová, Michaela",Olomouc,https://www.mamlekare.cz/psycholog/nasi-psychologove/michaela-zatloukalova,Přijímám nové klienty,"Dospělí 18-69, Dospělí: 70+, Dospívající (do 17 let)","On-line, Osobně",Kognitivně-behaviorální terapie
"Klingelová, Adéla",Praha,www.adelaklingelova.cz,Přijímám nové klienty,,,"Humanistická psychoterapie (např. PCA, Rogers, Daseins, Gestalt, logoterapie aj.)"
"Pospíšilová, Jana",Brno - střed,https://psycholog-pospisilova.webnode.cz/,Přijímám nové klienty,Dospělí 18-69,"On-line, Osobně",Integrativní a eklektické pojetí
"Koukal, Šimon",Praha 4,neuvedeno,Přijímám nové klienty,Dospělí 18-69,Osobně,"Humanistická psychoterapie (např. PCA, Rogers, Daseins, Gestalt, logoterapie aj.)"
"Urbanová, Kateřina",Praha,bipolarniterapie.cz,Přijímám nové klienty,Dospělí 18-69,"On-line, Osobně",Kognitivně-behaviorální terapie
"Strenk, Michal",Praha 6,https://www.podkridly.com/michal-strenk.php,Info o dostupnosti na vyžádání,Dospělí 18-69,"On-line, Osobně",Psychoterapie zaměřená na tělo
"Poláková, Hana",Brno,hanapolakova.cz,Info o dostupnosti na vyžádání,Dospělí 18-69,"On-line, Osobně",Integrativní a eklektické pojetí
"Nejedlá, Alžběta",,,Přijímám nové klienty,,,"Systémové, systemické a komunikační pojetí"
"Hyblerová, Zuzana",Praha,www.psychologie-hyblerova.cz,Nepřijímám nové klienty,Dospělí 18-69,"On-line, Osobně","Humanistická psychoterapie (např. PCA, Rogers, Daseins, Gestalt, logoterapie aj.)"
"Artiukhova, Svitlana",Praha 5,https://www.facebook.com/svitlana.artiukhova,Přijímám nové klienty,"Dospělí 18-69, Dospívající (do 17 let)","On-line, Osobně","Hlubinná psychoterapie (např. psychodynamické směry, psychoanalýza, SUR aj.)"
"Lahodová, Kamila",České Budějovice,neuvedeno,Přijímám nové klienty,Dospělí 18-69,On-line,Integrativní a eklektické pojetí
"Gál, Jana",Praha 1,www.janagal.cz,Přijímám nové klienty,"Děti: druhý stupeň ZŠ, Dospělí 18-69, Dospívající (do 17 let)","On-line, Osobně","Hlubinná psychoterapie (např. psychodynamické směry, psychoanalýza, SUR aj.)"
"Chmelová, Martina","Praha 6, Praha 3","www.martinachmelova.cz, www.alfahs.cz, www.podkridly.cz",Info o dostupnosti na vyžádání,,,Psychoterapie zaměřená na tělo
"Týkalová, Jana",Dobřichovice,,Info o dostupnosti na vyžádání,Osobně,,"Humanistická psychoterapie (např. PCA, Rogers, Daseins, Gestalt, logoterapie aj.)"
"Blatnická, Jindra",Praha 8,www. VitaSignum.cz,Info o dostupnosti na vyžádání,Dospělí 18-69,Osobně,"Hlubinná psychoterapie (např. psychodynamické směry, psychoanalýza, SUR aj.)"
"Špirková, Alena",Hradec Králové,https://alena.spirko.cz/,Info o dostupnosti na vyžádání,"On-line, Osobně",,"Humanistická psychoterapie (např. PCA, Rogers, Daseins, Gestalt, logoterapie aj.)"
"Bělohlávková, Lucie",Praha 1,www.kbt-belohlavkova.cz,Nepřijímám nové klienty,"On-line, Osobně",,Kognitivně-behaviorální terapie
"Ballova, Ivana",Praha,https://ivanaballova.cz/en/,Přijímám nové klienty,Dospělí 18-69,"Možnost terapie venku, On-line, Osobně","Humanistická psychoterapie (např. PCA, Rogers, Daseins, Gestalt, logoterapie aj.)"
"Chrášťanský, Jaromír",Praha 2,www.psycholog-praha.net,Info o dostupnosti na vyžádání,,,"Humanistická psychoterapie (např. PCA, Rogers, Daseins, Gestalt, logoterapie aj.)"
"Novotný, Miroslav",Praha 10,www.adikto.cz,Info o dostupnosti na vyžádání,Dospělí 18-69,"On-line, Osobně","Hlubinná psychoterapie (např. psychodynamické směry, psychoanalýza, SUR aj.)"
"Tobiašová, Karolína",Praha,www.karolinatobiasova.sk,Přijímám nové klienty,Dospělí 18-69,"On-line, Osobně","Humanistická psychoterapie (např. PCA, Rogers, Daseins, Gestalt, logoterapie aj.)"
"Hejdová, Barbora",Praha,https://hejdovabarbora.cz/,Přijímám nové klienty,"Dospělí 18-69, Dospělí: 70+","On-line, Osobně","Humanistická psychoterapie (např. PCA, Rogers, Daseins, Gestalt, logoterapie aj.)"
"Bezděk, Petr",Praha,neuvedeno,Přijímám nové klienty,"Děti: druhý stupeň ZŠ, Dospělí 18-69, Dospělí: 70+, Dospívající (do 17 let)","Možnost terapie venku, On-line, Osobně","Humanistická psychoterapie (např. PCA, Rogers, Daseins, Gestalt, logoterapie aj.)"
"Schejbalová, Pavlína",Praha 9,neuvedeno,Info o dostupnosti na vyžádání,"Dospělí 18-69, Dospělí: 70+, Dospívající (do 17 let)",Osobně,Jiný
"Manglová, Kateřina",Praha 4,https://www.klinikaluna.cz/,Info o dostupnosti na vyžádání,"On-line, Osobně",,"Humanistická psychoterapie (např. PCA, Rogers, Daseins, Gestalt, logoterapie aj.)"
"Maková, Tereza",Praha 5,Neuvedeno,Info o dostupnosti na vyžádání,"Děti: druhý stupeň ZŠ, Dospělí 18-69, Dospělí: 70+, Dospívající (do 17 let)","Možnost terapie venku, On-line, Osobně, Telefonicky",Integrativní a eklektické pojetí
"Dvorská, Karolína",Praha 2,,Nepřijímám nové klienty,"On-line, Osobně",,"Humanistická psychoterapie (např. PCA, Rogers, Daseins, Gestalt, logoterapie aj.)"
"Miska, Aleš",Ostrava,www.alesmiska.cz,Přijímám nové klienty,"Děti: druhý stupeň ZŠ, Děti: první stupeň ZŠ, Dospělí 18-69, Dospělí: 70+, Dospívající (do 17 let)","Možnost terapie venku, On-line, Osobně",Integrativní a eklektické pojetí
"Devátová, Magda",Brno,devatova.cz,Nepřijímám nové klienty,neuvedeno,Osobně,"Humanistická psychoterapie (např. PCA, Rogers, Daseins, Gestalt, logoterapie aj.)"
"Zahradníček, Jakub",Brno,http://kbt-terapeut.cz,Přijímám nové klienty,"Dospělí 18-69, Dospívající (do 17 let)","On-line, Osobně",Kognitivně-behaviorální terapie
"Rolederová, Iva",Praha,www.ivarolederova.cz,Info o dostupnosti na vyžádání,,,"Systémové, systemické a komunikační pojetí"
"Steklá, Markéta",Kolín,www.terapie-kolin.cz,Info o dostupnosti na vyžádání,"Dospělí 18-69, Dospívající (do 17 let)","Možnost terapie venku, Osobně","Hlubinná psychoterapie (např. psychodynamické směry, psychoanalýza, SUR aj.)"
"Lipková, Michaela",,,Info o dostupnosti na vyžádání,,,Psychoterapie zaměřená na tělo
"Taye, Petra",Praha 5,www.petrataye.cz,Přijímám nové klienty,"Dospělí 18-69, Dospívající (do 17 let)","Možnost terapie venku, On-line, Osobně","Systémové, systemické a komunikační pojetí"
"Klapilová, Kateřina",Klecany,neuvedeno,Info o dostupnosti na vyžádání,"Dospělí 18-69, neuvedeno","On-line, Osobně, Telefonicky",Integrativní a eklektické pojetí
"Růžičková, Lenka Terezie",Olomouc,www.mindtreat.art,Info o dostupnosti na vyžádání,"Děti: druhý stupeň ZŠ, Děti: předškoláci, Děti: první stupeň ZŠ, Dospělí 18-69, Dospívající (do 17 let)","Možnost terapie venku, On-line, Osobně",Integrativní a eklektické pojetí
"Engelmann, Lukáš",Ostrava-Poruba,www.terapie-engelmann.cz,Info o dostupnosti na vyžádání,Dospělí 18-69,"On-line, Osobně","Humanistická psychoterapie (např. PCA, Rogers, Daseins, Gestalt, logoterapie aj.)"
"Malina, Petr",Praha,https://psycholozkazpatehopatra.cz/bc-petr-malina-dis/,Přijímám nové klienty,"Děti: druhý stupeň ZŠ, Dospělí 18-69, Dospělí: 70+, Dospívající (do 17 let)","On-line, Osobně, Telefonicky",Integrativní a eklektické pojetí
"Fürst, Aleš",Jablonec nad Nisou,www.mudr-ales-furst.webnode.cz,Info o dostupnosti na vyžádání,"Dospělí 18-69, Dospělí: 70+",Osobně,Integrativní a eklektické pojetí
"Malinová, Renáta",Praha 2,www.renatamalina.cz,Nepřijímám nové klienty,,,"Hlubinná psychoterapie (např. psychodynamické směry, psychoanalýza, SUR aj.)"
"Blabolilová, Olga",Chrudim,www.terapieblabolilova.cz,Přijímám nové klienty,Dospělí 18-69,"On-line, Osobně","Humanistická psychoterapie (např. PCA, Rogers, Daseins, Gestalt, logoterapie aj.)"
"Daňová Jurčová, Ivana",Praha 8 - Karlín,www.ivanadanova.cz,Info o dostupnosti na vyžádání,"Děti: druhý stupeň ZŠ, Děti: předškoláci, Děti: první stupeň ZŠ, Dospělí 18-69, Dospívající (do 17 let)",Osobně,"Systémové, systemické a komunikační pojetí"
